"ratingDate","partial_entry"
"Diulas pada 4 Juli 2017","image seram nga kelihatan di siang hari, arsitektur eropa sangat bagus dan seharusnya dipelihara sebagai obyek wisata yang bagus seterusnya untuk kota semarang. senang bisa mengujungi tempat ini pada saat liburan tahun ini."
"Diulas pada 4 Juli 2017","Bangunan lama tapi terawat, banyak sekali pintu2nya wajar dikasih nama Lawang Sewu (seribu pintu).. Ada cerita mistis tentang bangunan ini,,,"
"Diulas pada 4 Juli 2017","Ke Semarang biasanya orang-orang akan bilang .. ke lawang sewu dan mesti malam hari agar kelihatan sensasinya, bangunan Lawang sewu ini kokoh dan bila malam ada lampu-lampu yang membuat ok untuk obyek foto, tetapi untuk orang tertentu yang sensitif .. atau orang yang penakut ... mending pegi pagi atau sore aja .. untuk tiket masuk bisa dibeli di pintu masuk, tetapi untuk parkir agak repot karena letaknya agak jauh dan untuk pintu keluarnya sekarang dr ujung, sehingga jauh dari pintu masuk (beberapa tahun lalu saya kesini pintu masuk dan keluar masih sama)"
"Diulas pada 3 Juli 2017","Salah satu tempat yang wajib dikunjungi bila berkunjung ke bandung, dekat dengan obyek wisata lain diantaranya dago, pasteur Dan jalan riau."
"",""
"Diulas pada 30 Juni 2017","Gedung bersejarah yang di rawat dengan baik. Sangat bersih dan tertata dengan baik. Tiket masuk +/- 10.000. Kita dapat menyaksikan sejarah perkeretaapian dan proses renovasi gedung lawang sewu ini. Fasilitas disini sangat lengkap,termasuk ruang untuk ibu menyusui."
"Diulas pada 30 Juni 2017","Agak kekurangan lahan parkir, sehingga susah mencari tempat parkir.Harga tiket masuk juga tidak mahal, ada juga pilihan tour guide lokal yang mengerti seluk beluk dari Lawang Sewu ini.Kesan pertama seram, tapi setelah masuk ternyata sangat mengagumkan dan memiliki banyak misteri serta nilai sejarah yang berharga.Menjadi salah satu destinasi yang direkomendasikan ke tamu dari luar kota yang ingin datang ke Semarang."
"Diulas pada 29 Juni 2017","Lawang Sewu adalah tempat wisata sejarah untuk mengenang jasa-jasa pahlawan, ditempat ini Anda dapat berekreasi dengan keluarga karena tempat ini banyak tempat lapang untuk anak bermain, ada juga wisata dunia lain ditempat ini."
"Diulas pada 29 Juni 2017","Suasana tempo belanda yang masih kental, aura mistis yang coba dihilangkan masih terasa, dan sangat cocok untuk wisata fotografi, namun terjadi perdebatan antara dosen sejarah kami dan guide tentang sedikit sejarah dari gedung lawang sewu ini, dan saya tetap percaya cerita dosen saya"
"Diulas pada 28 Juni 2017","Adalah salah satu gedung bersejarah di kota semarang, gedung ini memiliki banyak jendela khas gedung tua eropa, lokasi ini selalu ramai di kunjungi masyarakat lokal berbagai usia, apabila akan berkunjung alangkah baiknya tidak membawa kendaraan karena parkir yang sangat terbatas"
"Diulas pada 21 Juni 2017","Minggu lalu kami jalan jalan ke kota semarang tepatnya ke lawang sewe....wah hebat orang Belanda...membuat bangunan dengan 928 pintu info dari guidenya...kami dibawa keliling bangunan yang megah dan kokok dari lantai bawah hingga atas yg semua befungsi serta drainase yg sangat dipikirkan untuk lt atas yg jelas ini bangunan sejarah yg luar biasa patut diliat merupakan cagar budaya juga anak anak kamipun samgat suka..."
"",""
"Diulas pada 20 Juni 2017","Harus dijaga kelestariannya. Peninggalan belanda yg penuh arti dan masing masing gedung punya fungsinya. Sayang kita tidak bisa ke lantai basement krn sdg dipugar."
"Diulas pada 15 Juni 2017","Gedung ini peninggalan Belanda, saat ini milik PT. Kereta Api Indonesia. Gedung ini sangat besar dan luas. tetapi ruangannya banyak kosong. Ada museum di dalam area Gedung Lawang Sewu."
"Diulas pada 12 Juni 2017","Saya kemari pada November 2016 untuk menghadiri acara Ikatan Arsitek Indonesia. Lawangsewu merupakan gedung bersejarah dengan nilai arsitektur yang tinggi, lawangsewu berarti 1000 jendela karena gedung ini memang banyak sekali jendelanya. Konon katanya gedung ini sangat angker dan dihuni oleh hantu terutama di bagian basement-nya"
"Diulas pada 4 Juni 2017","Sampai sana malem jadi nya gelap mau foto foto. Tempat nya ga se serem yang orang bilang.  Tadi nya itu merupakan museum kereta api."
"Diulas pada 2 Juni 2017","Tiket masuk 10rb untuk dewasa. Lingkungan tertata rapi dan bersih. Bangunan terpelihara dengan baik. Saya berkunjung pada pagi hari, jika ingin uji nyali bisa ke sini pada malam hari. Terdapat penjara bawah tanah, dan loteng diatas bangunan. Ruang dansa. Saksi bisu kekejaman tentara Jepang. Lokasi dipinggir jalan raya, tidak terlalu jauh dari stasiun kereta api.Jika ada di Semarang, jangan lupa mampir ke Lawang Sewu."
"Diulas pada 29 Mei 2017","menyebut nama lawang sewu pertama kali yang muncul dipikiranku hanya kata seram. lawang sewu merupakan salah satu gedung tua di Kota Semarang. sebagai warga Semarang jujur aku baru sekali datang kesana itupun untuk menemani sepupu yang datang dari luar kota. untuk memasuki area lawang sewu kita akan dikenakan biaya masuk. begitu memasuki area lawang sewu kesan horror yang selama ini aku bayangkan langsung lenyap seketika, karena situasi yang ramai, bangunan terawat, cukup bersih dan banyak event yang sering diselenggarakan disana menjadikan kesan seram langsung sirna. kebetulan pas aku kesana juga pas gak lagi musim liburan jadi suasana cukup nyaman dan bisa foto foto dispot terbaik tanpa photo bomb dari pengunjung lain. Puas rasanya bisa mengunjungi salah satu bangunan peninggalan jaman penjajahan dengan desain yang begitu indah."
"",""
"Diulas pada 23 Mei 2017","Salah satu icon kota semarang ini menjadi daya tarik para wisatawan. Untuk menambah nilai wisata mistisnya kunjungilah dimnalam hari dan pastikan jantung kamu dag dig dug. Selain itu, lawang sewu juga tidak cuma bangunan pemerintahan belanda, lawang sewu juga beralih menjadi penjara paling kejam pada masa penjajahan jepang."
"Diulas pada 23 Mei 2017","lawang sewu adalah tempat untuyk memikmati kemegahan jaman dahulu, banyak spot yang menarik diexplore baik dengan kamera maupun mata. tempat yang cukup nyaman apalagi setelah direnovasi, sangat direkomendasi untuk dikunjungi"
"Diulas pada 21 Mei 2017","Ketiga kalinya dateng ke Lawang Sewu tapi ngak pernah bosen krn ada aja yg baru meskipun gak boleh ada pembangunan baru di lokasi ini. Tapi yg dimaksud ada yg baru adalah tempat2 yg dulu tertutup rapat dan terkunci sekarang sudah ada sebagian yg dibuka. Jadi tambah banyak lorong lorongnya. Kalo yg suka fotografi arsitektur pasti seneng ke tempat ini."
"Diulas pada 19 Mei 2017","Sesuai namanya Lawang Sewu, Gedung Tua ini memang punya banyak pintu, dijamin bisa bingung masuk dan keluar lewat mana apabila ga ada pemandu atau papan penunjuk jalan, seperti main labirin karena dimana mana ada pintu yang saling terhubung. Lokasinya pas di tengah Kota semarang, halamannya luas bahkan bisa untuk acara konser dll, walaupun sudah ada perbaikan disana sini namun kesan mistis masih kental apalagi di bumbui dengan mitos kisah kisah yang sudah beredar, kalau mau uji nyali malam malam kesini sendirian pas pengunjung sepi dan masuk lorong bawah tanah...Dijamin,....Merinding...."
"Diulas pada 19 Mei 2017","klu mau wisata dengan nuansa jaman dulu  gedung lawang sewu bisa jadi alternative uji nyali ,ayo buktikan nyali mu ke sini"
"Diulas pada 18 Mei 2017","Pengalaman unik sekaligus menyenangkan dan untuk pertama kalinya saya melihat bangun seunik ini di depan mata saya. ini benar-benar perjalanan yang menarik dan mengandung unsur mistik yang luar biasa.I mengelilingi lokasi yang terdapat di dalam gedung ini. Sangat menyenangkan dapat melihat bangunan indah dan penuh sensasi misterius. Mungkin apabila saya mengunjungi pada malam hari sensasi itu akan semakin luar biasa hebatnya terasa sampai memicu adrenalin.Namun dibalik semuanya saya merasa terkesima dengan jejak sejarah perkeretaapian yang dimiliki lawang sewu ini. Mulai dari sejarah adanya stasiun jakarta dan sekitarnya hingga rute kereta api yang dulu pernah ada dan sekarang punah"
"",""
"Diulas pada 18 Mei 2017","Sedikit menyeramkan namanya tapi so far so good. Namyanya juga lawang sewu yang artinya banyak pintu. Gedung tua tp masih terawat. Sayang lahan parkir mobil susah"
"Diulas pada 18 Mei 2017","Berada di kota Semarang belum lengkap jika tidak mengunjungi bangunan tua yang mempesona di tengah kota Semarang yang bernama lawang sewu. Bangunan yang telah memiliki renovasi namun tidak menghilangkan khas bangunan tua menambah keindahan dan kesempurnaan bangunan tua. Berbeda dengan sebelum dibuka untuk umum bangunan ini sangat memberi kesan seram/angker namun saat ini kesan berubah menjadi tempat yang indah untuk berselfie ria. Disarankan saat datang mengunjungi gedung ini menggunakan pakaian jaman dahulu agar hasil jepretan saat berselfie menjadi lebih sempurna serasa hidup di zaman dahulu. Untuk ruang bawah tanah yang pernah saya kunjungi sebelum dibuka untuk umum, saat ini sudah ditutup tidak diperbolehkan untuk pengunjung. Jika mengendarai mobil, anda sedikit mengalami kesulitan untuk parkir karena lawang sewu tidak memiliki parkiran dan harus diparkir di sekitar lawang sewu. Saat itu saya parkir di pinggir kali di jalan umum dengan sewa tarif parkir liar yang lumayan mahal yaitu Rp 10.000,- tanpa menggunakan karcis parkir."
"Diulas pada 17 Mei 2017","Lawang sewu cocok untuk wisata malam jika anda berkunjung kekota semarang. Aksesnya sangat mudah dijangkau karena teeletak di kawasan Tugu Muda Semarang"
"Diulas pada 17 Mei 2017","lawang sewu, kalo diartikan ke Bahasa indonesia artinya seribu pintu,, yappp sesuai namanya,, bangunan peninggalan belanda ini mimang punya banyak pintu (tapi jujur saya belum pernah ngitung ada 1000 general ga?) dulunya dipakai untuk kantor kereta api jaman belanda,,, dibawahnya ada terowongan yang nyambung dengan RSUP Karyadi, ada juga penjara bawah tanah untuk tahanan pada jaman dahulu,, haya jaja sekarang kita sudah ga bisa lihat ke penjara bawah tanah tsb, lokasinya di depan bunderan tugu muda, bangunan ini katana sih spooky,, hihihihihi,,"
"Diulas pada 16 Mei 2017","awal nya semoat ragu buat masuk karna denger cerita"" tentang tempat ini, apalagi kita datang malam hari dan saya lagi hamil muda banyak yg menyaran kan untuk tidak masuk, tapi karna kami kurang yakin tentang hubungan nya sama kehamilan dan bertanya juga sama petugas kalo baik-baik saja jadi kita putuskan masuk dari pada penasaran, tempat bersih dan terawat, lokasi strategis karna sudah banyak yg tau jadi gampang untuk bertanya pun"
"Diulas pada 16 Mei 2017","Awal nya cukup takut untuk masuk karna cerita"" mistis yg di dengar apalagi ke sana malam hari dan saya lagi hamil muda jadi banyak yg menyaran kan jangan masuk, tapi karna saya dan suami yakin itu hanya cerita mitos dan tidak ada hubungan nya dengan kehamilan dan bertanya juga sih ke petugas kalo aman"" saja ya akhir  nya masuk dari pada penasaran. tempat nya strategis karna emang sangat terkenal jadi mudah kalo pun kita bertanya,tempat bersih dan terawat, buat kamar mandi di luar gedung, tapi kondisi nya gimana saya gak berani masuk"
"",""
"Diulas pada 16 Mei 2017","Tempat ini benar benar istimewa bila dilihat dari lokasi, kualitas bangunan dan kebersihannya, bekas bangunan Belanda yang sekarang menjadi Museum Kereta Api dan menjadi Obyek Wisata.Saat saya berkunjung, cukup banyak Wisatawan dari Luar Kota yang ikut menikmati bangunan ini dan rata rata penasaran karena tergiang ngiang sebagai Uji Nyali acara TV beberapa tahun yang lalu, konon terdapat penjara di bawah tanah yang gelap total dan tanpa ventilasi sehingga sangat lembab (tempat seperti ini yang biasanya disukai makhluk dimensi lain).Terdapat pemandu dengan tarif jasa Rp. 60.000 untuk bisa mendapatkan pengalaman penuh dan cerita sejarah yang ada."
"Diulas pada 16 Mei 2017","setelah nonton film mister tukul jalan-jalan ke lawang sewu, aku jadi kepengin main ke lawang sewu. Alhamdulillah terwujud, sampai disana saya hitung lawangnya. ampunnnn ga ke hitung.wkwkwk tetapi setelah di jelaskan oleh tour guide bahwa pintu di gedung lawang sewu memang banyak tetapi tidak sampai 1000 pintu, hanya saja sebutannya. namun, cerita mistik yang terjadi dan sejarahnya membuat aku semakin penasaran sampai di ajak ke ruangan yang paling atas. uhhh mantappp, pokoknya bagus sekali untuk beljar kesejarah dari lawang sewu untuk mengenang para pejuang bangsa Indonesia."
"Diulas pada 15 Mei 2017","Salah satu tempat yang wajib Anda kunjungi apabila ke Semarang. Malam hari akan lebih seru untuk dikunjungi karena suasana yang ada akan lebih terasa mistis. Bagian yg menurut sy horor itu lorong ke pintu bawah tanah. Melihatnya pun sudah membuat merinding."
"Diulas pada 15 Mei 2017","Kesini bersama anak... Anak saya tidak mau masuk.. Hanya mau duduk di taman depannya saja... Entah kenapa. Akhirnya bayar tiket sia2"
"Diulas pada 13 Mei 2017","Saya terlalu asik mengagumi nuansa romantisme masa silam sejarah ular besi yang melingkari Pulau Jawa dari berbagai koleksi yang disajikan di gedung kuno ini. Saya juga langsung tenggelam dalam keindahan arsitektur jaman keemasan penjajahan Londo di tanah Jawa yang masih tertinggal dengan kukuh di gedung penu misteri mistis ini.Daaaannnn.... hasilnya adalah : saya lupa menghitung berapa jumlah sebenarnya daun pintu yang tertempel di sekujur dinding bangunan megah ini. Padahal niat awal saya mengunjungi gedung Lawang Sewu ini cuma sekedar mau membuktikan, benarkah jumlah pintunya ada seribu unit? Jangan-jangan jumlah pintunya ada seribu dua unit karena termasuk pintu gerbang dan pintu hati? Ah sungguh kegagalan besar dalam perjalanan ke kota loenpia ini."
"Diulas pada 10 Mei 2017","Tidak terlalu horor di siang hari. Banyak pengunjung dan sering dilakukan pameran. Bagus bangunannya masih terawat dan saat berkunjung beberapa tempat dalam proses pemugaran"
"",""
"Diulas pada 8 Mei 2017","Gedung Lawang Sewu merupakan kantor pusat perusahaan kereta api swasta zaman Hindia Belanda yang pertama kali membangun jalur kereta api di Indonesia. Gedung ini berlokasi persis di damping Tugu Muda. Tiket masuk untuk orang dewasa sebesar Rp 10.000,-/orang. Namun sayang wisata bawah tanah ditiadakan untuk sementara waktu karena sedang dilakukan renovasi. Ada beberapa ruangan yang dijadikan ruang pamer dengan menampilkan miniatur kereta api, berbagai peralatan perkeretaapian, foto dan film sejarah perkembangan kereta api. Kalau ingin lebih seru, saya sarankan menyewa pemandu, sehingga anda bisa lebih tahu cerita dibalik setiap objek pamer. Terdapat banyak ruangan yang dibiarkan kosong dan dibuka. Bagi pencinta selfie, terdapat banyak spot yang instagrammable. Ada pula fasilitas musholla dan toilet bagi pengunjung. Saya salut dengan pengelola gedung ini karena taman terlihat rapi dan relatif bersih dari sampah."
"Diulas pada 2 Mei 2017","Jika ke Semarang wajib ke Lawang sewu karena salah satu icon kota semarang.Htm rp. 10.000 saja, kita bisa menjelajah kesemua ruangan.Bagus didatangi saat malam dan pagi hari.Terletak dipusat kota."
"Diulas pada 29 April 2017","mengunjungi lawang sewu adalah kita bisa belajar sejarah tentang perkereta apian di indonesia khusus nya semarang."
"Diulas pada 26 April 2017","Bangunan bersejarah yg memiliki daya tarik tersendiri, lokasi di tengah kota, tiket masuknya cuma 10rb, tempat ini wajib di kunjungi kalau kita ke semarang"
"Diulas pada 24 April 2017","Belum Ke Semarang kalo belum kesini, kalian cobain berkunjung ke sini, seribu pintu. hehe. Menarik liat perkembangan kereta api di Indonesia ini.."
"Diulas pada 23 April 2017","Banyak orang menilai tempat ini memiliki kesan mistis tapi menurut saya tempat ini malah sangat sejuk dan nyaman untuk bersantai. Bangunan bersejarahnya unik dan indah. Memiliki galeri yang memamerkan informasi mengenai kereta api di Indonesia."
"",""
"Diulas pada 20 April 2017","Berkunjung malam hari ke Lawang Sewu, menjelajah hingga ke loteng bawah atap, sangat seram! Namun itulah yang biasanya dicari oleh wisatawan, sensasi seramnya"
"Diulas pada 19 April 2017","merupakan bangunan bersejarah dikota semarang, sangat direkomendasikan untuk dikunjungi ketika ke semarang, sebelum kesini wajib baca baca dulu tentang sejarah bangunan ini."
"Diulas pada 17 April 2017","Ini merupakan bangunan heritage jaman dulu yang patut dikunjungi dan letaknya yang strategis di tengah kota ...agak serem-serem gimana gitu tapi benar-benar membangkitkan perasaan semacam seperti sedang kembali ke jaman dahulu kala..."
"Diulas pada 17 April 2017","Termasuk wisata sejarah yang sangat direkomendasikan untuk dikunjungi. Sempatkan untuk membaca ringkasan sejarah yang banyak tersedia disana.Jika ingin foto dengan latar pintu yang banyak, pilih foto di gedung A, yang kombinasi warna lantainya sangat cantik dibanding gedung lainnya. Gunakan tripod atau bantuan orang lain agar seluruh latar bisa terfoto. Tidak tersedia lahan parkir di area Lawang Sewu, kami mendapatkan parkir di are parkir Happy Puppy- resto Holiday. Karena kami datang saat jam makan siang, jadi parkir resto cukup penuh."
"Diulas pada 16 April 2017","Lawang Sewu yang dulunya tempat kantor administrasi. Tiket masuk yang murah tapi tempat parkirnya kurang memadai."
"Diulas pada 14 April 2017","Berkunjung ke Lawang Sewu saat berlibur ke Semarang, tempatnya tenang, menceritakan tentang bekas gedung kantor Kereta Api Indonesia, terdapat pula lokomotif uap tua berapa didepan gedung"
"",""
"Diulas pada 13 April 2017","kesan angker sama sekali tidak terlihat. untuk masuk kedalam cukup membayar tiket masuk sebesar Rp. 10.000. selama ini dalam ekspektasi adalah tempat yang super angker, setelah masuk kedalam ternyata hanya ada ruangan2 kosong yang sangat banyak pintunya. tapi ada 2 tempat yang sedikit kurang enak ""aura"" nya yaitu di toilet lantai 2 dan ruangan bawah tanah"
"Diulas pada 13 April 2017","Merupakan bangunan sisa peninggalan PT KAI pada zaman belanda, letaknya berada di pusat kota tepatnya di daerah tugu muda. Akses menuju kesana sangat mudah dan dekat dengan pusat oleh-oleh di daerah pandanaran."
"Diulas pada 6 April 2017","Lawang sewu sebagai salah satu ikon kota semarang memang langsung mencuri perhatian rekan2 kerja saya setelah selesai rapat anggaran semalam suntuk yg melelahkan. Sehabis solat jumat dan makan siang cussss langsung kita ke lawang sewu. Terakhir saya ke lawang sewu pada wisuda saya tahun 2013. Tidak begitu banyak perubahan sejak 2013 hanya saja manajemen lebih baik. Saya mendapat tour guide yang keren banget, bisa melawak dan pada saat kita penasaran dengan kemistisan lawang sewu diapun bisa mengarahkan dengan baik. Cuma dengan 50rb doang lagi. Sayang kemarin ruang bawah tanah masih ditutup"
"Diulas pada 3 April 2017","Meskipun kedengarannya mistis karena banyak peninggalan sejarah khususnya perkereta-apian di Indonesia, namun tidak seseram yang dibayangkan. Justru banyak spot foto menarik di area Gedung Lawang Sewu, apalagi bangunannya bergaya Belanda. Selain tiket entri yang cukup, disediakan pula tur guide dengan harga tertentu jika ingin mengetahui lebih banyak tentang sejarah gedung dan isinya."
"Diulas pada 2 April 2017","Gedung tua ini penuh sejarah, semakin cantik sejak dikelola oleh PT.KAI, sayangnya beberapa fasilitas pengunjung (Toolet, PArkir, Pemandu) kurang memadai"
"Diulas pada 30 Maret 2017","Lawang: Pintu; Sewu; Seribu. Entah jumlahnya benar-benar seribu atau tidak, yang jelas pintunya banyak sekali. Begitu masuk ke area gedung, terasa hawa dingin, apalagi kalau pergi kesana tanpa teman yang banyak. Area paling horror adalah bawah tanah. Ketika mask kesini harus membawa senter, pakai sepatu boot anti air, dan wajib bersama pemandu. Melewati lorong-lorong berair, gelap, dan pemandu akan menyampaikan segudang cerita mistis."
"",""
"Diulas pada 30 Maret 2017","Bangunan ini terletak di dekat pusat kota Semarang...mudah untuk dijangkau.Bangunan lawang sewu sangat artistik dan juga bersih."
"Diulas pada 27 Maret 2017","Tempat termainstream tp kalo ga kesini berarti belum ke Semarang. Udah terlalu sering kesini buat nemenin temen saya dr luar kota, ya walopun sayang area bawah tanahnya udah ga dibuka lagi. Terakhir bisa masuk bawah tanah pas aku masih SMP."
"Diulas pada 27 Maret 2017","Terletak di pusat kota, bangunan ini berfungsi sebagai museum kereta api. Banyak lokomotif maupun alat2 pendukung transportasi ini ditampilkan. Meskipun sudah tua tapi gedungnya terawat."
"Diulas pada 27 Maret 2017","salah satu tujuan utama ke semarang diantaranya berkunjung kesini, bangunan nya masih terawat dengan baik dan mempunyai spot untuk foto yang bagus."
"Diulas pada 27 Maret 2017","Lawang sewu pasti udah dikenal dgn gedungnya yang tua dan cantik, tapi ga serem kokWaktu yang paling pas kesini adalah sore menuju magrib, walaupun siang atau malem pun ga masalah.. tp buat urusan foto, bakalan lebih cantik hasilnya ketika sore ituUntuk tiket masuk masih terjangkau, dan ada guide juga (kalo berminat) jadi kita ngerti sejarahnya & keunikan gedung ini."
"Diulas pada 24 Maret 2017","Nggak lengkap rasanya kalau ke semarang tapi tidak mampir ke gedung lawang sewu yang ada di jl.pemuda.Tempatnya bagus banget buat tour keluarga atau study,banyak foto dan miniatur yang menceritakan tentang gedung ini.Ada yang pernah menghitung pintu di gedung ini sampai selesai?sy aja sampai bingung ngitungnya saking banyaknya."
"",""
"Diulas pada 16 Maret 2017","Kunjungan kedua setelah tahun 2010. Kesan bangunan sekarang lebih terawat dan bersih setelah pemugaran. Sehingga kesan mistis sedikit hilang. Taman sudah ditata dan diberi paving. Cocok untuk wisata sejarah atau yg hobi fotografi"
"Diulas pada 16 Maret 2017","Lawang sewu termasuk bangunan bersejarah di smrg.. waktu itu saya kesini dengan saudara2 saya untuk wisata malam.. suasananya sangat mencekam.. tp sayang blm bisa ke bwah tanahnya krn waktu itu sedang di renov atau apa.. dan waktu mau jalan2 harus dengan guide 😀"
"Diulas pada 11 Maret 2017","Terletak di sebelah barat simpang lima semarang, cukup mudah untuk mencari tempat ini karena lokasinya yang strategis.Untuk tiket masuk sekitar 10rb , di sini kita bisa melihat bangunan sejarah yang megah berdiri, sebenarnya bangunan ini dulunya di pakai sebagai kantor PT Kereta Api jaman dahulu.Namun sayangnya belum ada lahan untuk parkir jadi parkir masih di pinggir jalan dan belum terkelola secara baik."
"Diulas pada 9 Maret 2017","Kalau pertama kali kesini mending jelajah bagunan sendiri saja. Percuma bawa tour guidenya kurang informatif. Terkesan buru buru."
"Diulas pada 8 Maret 2017","Langsung aje ye... Tempatnya bersih, terawat, bagus untuk foto2, murah banget, unik, historical, di pusat kota, asyik buat nongkrong, ada fotografer yang siap mengabadikan. Tapi sayang...., parkirnya susah."
"Diulas pada 7 Maret 2017","Bangunan yang dulunya merupakan kantor jawatan kereta api ini sangat wajib dikunjungi jika datang ke Semarang. Saat ini sudah beralih fungsi menjadi museum. Di malam hari bangunan ini nampak misteri tapi itulah salah satu daya tariknya."
"",""
"Diulas pada 1 Maret 2017","Nice building. Terdapat banyak history di gedung ini di masa lalu..Menambah pengalaman dan sejarah.."
"Diulas pada 28 Februari 2017","Bangunan kuno khas bangunan Belanda yang harus dilestarikan dirawat dengan baik, lokasi Sangata strategis di Pusat kota semarang Kawasan Tugumuda semarang, wajib dikunjungi untuk wisatawan yang pertama kali ke semarang"
"Diulas pada 24 Februari 2017","Siapa yang tak mengenal Gedung Lawang Sewu? Gedung paling terkenal di Semarang sejak masa penjajahan Belanda yang memiliki banyak pintu, yang diibaratkan pintunya sebanyak seribu pintu. Dahulunya gedung ini berfungsi untuk kantor kereta api setelah masa kemerdekaan. Namun sekarang ini fungsinya sudah beralih menjadi objek wisata yang dilindungi, dan menjadi tempat suatu pergelaran acara. Ketika Anda memasuki gedung ini, aroma khas bangunan tua sangat tercium. Kemudian ada tangga yang cukup tinggi dan mengarah ke arah kanan dan kiri. Konon jika ada orang yang bisa meihat makhluk ghaib, mereka telah menunggu sambil berdiri dan duduk di tangga tersebut. Namun itu hanya mitos saja, tentang benar atau tidaknya tentu tidak tahu.Gedung Lawang Sewu terdiri dari 3 lantai, yang mana dalam satu lantai setiap ruangan terhubung dengan pintu. Jadi apabila pintu dibuka, Anda seperti sedang berjalan di lorong yang sangat panjang. Lawang sewu sebenarnya tidak terdiri dari banyak pintu, melainkan banyaknya jendela. Jendela yang ada disini sangatlah besar, panjang, dan kokoh. Namun jika dilihat dari kejauhan, jendela-jendela ini seperti pintu yang telah terhubung. Untuk itu, jika Anda singgah di Semarang. Jangan lupa untuk jelajahi gedung bersejarah satu ini!"
"Diulas pada 24 Februari 2017","kalau ke Semarang, wajib foto disini..bisa menikmati suasana mistis plus historic....keren tempatnya...sekarang sudah bersih..bisa nyebrang ke Tugu Muda buat foto...kalau laper masuk ke area Museum Mandala Bhakti,,ada angkringan kedai Blendoek dan Vinscoffee dengan menu yang istimewa"
"Diulas pada 20 Februari 2017","Wisata sejarah... setiap ke Semarang pasti mampir ke sini, ada berbedaan situasi jika berkunjung pagi, siang dan malam. Dan bisa ditebak bila berwisata malam hari kesana bakal mengalami pengalaman mistis buat yg sensitif pada hal2 gaib."
"Diulas pada 18 Februari 2017","Dengan tiket masuk yang murah, serta dengan tour guide untuk menjelaskan sejarah dari Lawang Sewu ini, meskipun suasana pengap namun banyak sekali yang bisa dijadikan objek foto,"
"",""
"Diulas pada 17 Februari 2017","Keren pemerintah masih merawat dengan baik salah satu gedung warisan peninggalan jaman dahulu, semua masih terawat dengan baik, tidak seseram cerita orang tentang gedung ini, lebih seru memang kesini malam hari..bisa liat megah nya gedung dengan lampu lampu yang menyala.."
"Diulas pada 16 Februari 2017","Tempat yg unik jaman penjajahan cuma tempat duduk2 yg adem agak kurang memadai,agak menyeramkan di lantai atas penjual makanannya jg msh kurang enak menurut saya disini..."
"Diulas pada 15 Februari 2017","wisata sejarah yg syahdu, meski terkesan agak agak anker.bangunannya terawat, adem bagus untuk poto poto. dekat dg tugu muda, museum mandala dan pusat oleh oleh khas semarang"
"Diulas pada 15 Februari 2017","Satu-satunya gedung bersejarah yang terletak ditengah kota, dan masih terawat dengan baik sampai saat ini. Keren."
"Diulas pada 14 Februari 2017","Gedung ini terkenal di Semarang dan sudah sering ditampilkan di acara traveling di tv. Konon gedung ini angker karena sejarahnya tetapi berkunjung ke sana di pagi hari kita tidak akan menemukan suasana angker.Gedung bergaya kolonial ini katanya dulu kotor dan tak terawat tapi kini gedung ini bersih dan terawat. Dengan gaya arsitekturalnya yang unik, cocok untuk foto maupun selfi dan dipamerkan di sosial media."
"Diulas pada 8 Februari 2017","Sebuah tempat rekreasi keluarga yang sangat mendidik tentang sejarah, dan kekayaan semarang masa lampau. Lokasi bersih dan wangi. Sayang tidak semua ruangan boleh dimasuki"
"",""
"Diulas pada 6 Februari 2017","disini terdapat jendela yang jumlahnya banyak sekali, hawa disini menyejukkan, bersama teman teman saya, kita betah buat main seharian disini, tempatnya asyik, enak buat foto, dan juga kita bisa belajar mengenai sejarah kereta api di Semarang.\di area lawang sewu terdapat lokomotif tua yang keren."
"Diulas pada 4 Februari 2017","Kalau kita suka dengan bangunan bersejarah mungkin bisa kita kunjungi, namun wisata di lawang sewu menurut saya kurang menyenangkan, parkir tidak dikelola dengan baik, kalo yg baru datang pasti bingung, sarana dan prasarana dilawang sewu kurang mendukung, tiket agak mahal karena tidak sesuai dengan apa yg didapat"
"Diulas pada 1 Februari 2017","Lawang Sewu Semarang atau dalam b indonesia adalah Seribu Pintu merupakan bangunan gedung tua besejarah peninggalan pada jaman Belanda .Jika anda datang ke Semarang jangan lupa untuk mengunjungi tempat bersejarah ini .Didalamnya pun tempatnya bersih walaupun gedung tua."
"Diulas pada 31 Januari 2017","Gedung lawang sewu meruapakan gedung tua yang unik. Banyak sekali pintu yang terbuka lebar di setiap gedungnya, sehingga disebut lawang sewu (bahasa Jawa). Bila diterjemahkan dalam bahasa indonesia kata lawang artinya pintu, sewu artinya seribu. Cocok sekali untuk tempat wisata segala usia. Selain pintu, yang menarik adalah adanya dua lokomotif tua yang ada di samping gedung dan di tengah gedung, selain itu halaman yang luas dan banyak pohon rindang. Cocok sekali untuk tempat bersantai, berselfie dan berwefie ria"
"Diulas pada 30 Januari 2017","Tempatnya seru.. Tidak seseram yang dibayangkan. Tempatnya sangat mudah dijangkau oleh kendaraan umum."
"Diulas pada 30 Januari 2017","Menyenangkan bisa mengunjungi salah satu ikon Kota Semarang. Dipandu oleh guide berpengalaman kami diajak berkeliling & dijelaskan tentang sejarah Lawang Sewu. Tak lupa kami ambil foto sebagai kenang2an, banyak spot yg menarik untuk diabadikan."
"",""
